RegionName2,Year,Epidemic_Week
Benishangul-Gumuz,2020,40
Benishangul-Gumuz,2020,41
Benishangul-Gumuz,2020,42
Benishangul-Gumuz,2020,43
Benishangul-Gumuz,2020,44
Benishangul-Gumuz,2020,45
Benishangul-Gumuz,2020,46
Benishangul-Gumuz,2020,47
Benishangul-Gumuz,2020,48
Benishangul-Gumuz,2020,49
Benishangul-Gumuz,2020,50
Benishangul-Gumuz,2020,51
Benishangul-Gumuz,2020,52
Benishangul-Gumuz,2021,1
Benishangul-Gumuz,2021,2
Benishangul-Gumuz,2021,3
Benishangul-Gumuz,2021,4
Benishangul-Gumuz,2021,5
Benishangul-Gumuz,2021,6
Benishangul-Gumuz,2021,7
Benishangul-Gumuz,2021,8
Benishangul-Gumuz,2021,9
Benishangul-Gumuz,2021,10
Benishangul-Gumuz,2021,11
Benishangul-Gumuz,2021,12
Benishangul-Gumuz,2021,13
Benishangul-Gumuz,2021,14
Benishangul-Gumuz,2021,15
Benishangul-Gumuz,2021,16
Benishangul-Gumuz,2021,17
Benishangul-Gumuz,2021,18
Benishangul-Gumuz,2021,19
Benishangul-Gumuz,2021,20
Benishangul-Gumuz,2021,21
Benishangul-Gumuz,2021,22
Benishangul-Gumuz,2021,23
Benishangul-Gumuz,2021,24
Benishangul-Gumuz,2021,25
Benishangul-Gumuz,2021,26
Benishangul-Gumuz,2021,27
Benishangul-Gumuz,2021,28
Benishangul-Gumuz,2021,29
Benishangul-Gumuz,2021,30
Benishangul-Gumuz,2021,31
Benishangul-Gumuz,2021,32
Benishangul-Gumuz,2021,33
Benishangul-Gumuz,2021,34
Benishangul-Gumuz,2021,35
Benishangul-Gumuz,2021,36
Benishangul-Gumuz,2021,37
Benishangul-Gumuz,2021,38
Benishangul-Gumuz,2021,39
Benishangul-Gumuz,2021,40
Benishangul-Gumuz,2021,41
Benishangul-Gumuz,2021,42
Benishangul-Gumuz,2021,43
Benishangul-Gumuz,2021,44
Benishangul-Gumuz,2021,45
Benishangul-Gumuz,2021,46
Benishangul-Gumuz,2021,47
Benishangul-Gumuz,2021,48
Benishangul-Gumuz,2021,49
Benishangul-Gumuz,2021,50
Benishangul-Gumuz,2021,51
Benishangul-Gumuz,2021,52
Benishangul-Gumuz,2022,5
Benishangul-Gumuz,2022,6
Benishangul-Gumuz,2022,7
Benishangul-Gumuz,2022,8
Benishangul-Gumuz,2022,9
Benishangul-Gumuz,2022,10
Benishangul-Gumuz,2022,11
Benishangul-Gumuz,2022,12
Benishangul-Gumuz,2022,13
Benishangul-Gumuz,2022,14
Benishangul-Gumuz,2022,15
Benishangul-Gumuz,2022,16
Benishangul-Gumuz,2022,17
Benishangul-Gumuz,2022,18
Benishangul-Gumuz,2022,19
Benishangul-Gumuz,2022,20
Benishangul-Gumuz,2022,21
Benishangul-Gumuz,2022,22
Benishangul-Gumuz,2022,23
Benishangul-Gumuz,2022,24
Benishangul-Gumuz,2022,25
Benishangul-Gumuz,2022,26
Benishangul-Gumuz,2022,27
Benishangul-Gumuz,2022,34
Benishangul-Gumuz,2022,35
Benishangul-Gumuz,2022,36
Benishangul-Gumuz,2022,37
Benishangul-Gumuz,2022,38
Benishangul-Gumuz,2022,39
Benishangul-Gumuz,2022,40
Benishangul-Gumuz,2022,41
Benishangul-Gumuz,2022,42
Benishangul-Gumuz,2022,43
Benishangul-Gumuz,2022,44
Benishangul-Gumuz,2022,45
Benishangul-Gumuz,2022,46
Benishangul-Gumuz,2022,47
Benishangul-Gumuz,2022,48
Benishangul-Gumuz,2022,49
Benishangul-Gumuz,2022,50
Benishangul-Gumuz,2022,51
Benishangul-Gumuz,2022,52
Dire Dawa,2015,9
Dire Dawa,2015,10
Dire Dawa,2015,11
Dire Dawa,2015,12
Dire Dawa,2015,13
Dire Dawa,2015,14
Dire Dawa,2015,15
Dire Dawa,2015,16
Dire Dawa,2015,17
Dire Dawa,2015,18
Dire Dawa,2015,20
Dire Dawa,2015,26
Dire Dawa,2015,27
Dire Dawa,2017,21
Dire Dawa,2017,40
Dire Dawa,2017,44
Dire Dawa,2017,45
Dire Dawa,2018,8
Dire Dawa,2020,1
Dire Dawa,2020,2
Dire Dawa,2020,3
Dire Dawa,2020,4
Dire Dawa,2020,5
Dire Dawa,2020,6
Dire Dawa,2020,7
Dire Dawa,2020,8
Dire Dawa,2020,9
Dire Dawa,2020,10
Dire Dawa,2020,11
Dire Dawa,2020,12
Dire Dawa,2020,13
Dire Dawa,2020,14
Dire Dawa,2020,15
Dire Dawa,2020,16
Dire Dawa,2020,17
Dire Dawa,2020,18
Dire Dawa,2020,19
Dire Dawa,2020,20
Dire Dawa,2020,21
Dire Dawa,2020,22
